Chemostat,Residence Time (hrs),Transect,DAPI Count,Cell_ml,SYTOX Count,CTC Count,% Active,% Dead,% Dormant
9,1.225,1,10,641.9753086,7,5,50,70,50
9,1.225,2,43,2760.493827,18,23,53.48837209,41.86046512,46.51162791
9,1.225,3,5,320.9876543,3,4,80,60,20
9,1.225,4,9,577.7777778,4,1,11.11111111,44.44444444,88.88888889
9,1.225,5,16,1027.160494,5,7,43.75,31.25,56.25
9,1.225,6,40,2567.901235,13,21,52.5,32.5,47.5
9,1.225,7,20,1283.950617,10,12,60,50,40
9,1.225,8,13,834.5679012,7,9,69.23076923,53.84615385,30.76923077
9,1.225,9,16,1027.160494,5,9,56.25,31.25,43.75
9,1.225,10,12,770.3703704,6,8,66.66666667,50,33.33333333
10,0.3916667,1,264,16948.14815,188,116,43.93939394,71.21212121,56.06060606
10,0.3916667,2,174,11170.37037,110,112,64.36781609,63.2183908,35.63218391
10,0.3916667,3,274,17590.12346,167,176,64.23357664,60.94890511,35.76642336
10,0.3916667,4,216,13866.66667,172,145,67.12962963,79.62962963,32.87037037
10,0.3916667,5,199,12775.30864,74,97,48.74371859,37.18592965,51.25628141
10,0.3916667,6,197,12646.91358,61,127,64.46700508,30.96446701,35.53299492
10,0.3916667,7,185,11876.54321,113,106,57.2972973,61.08108108,42.7027027
10,0.3916667,8,65,4172.839506,41,43,66.15384615,63.07692308,33.84615385
10,0.3916667,9,143,9180.246914,96,128,89.51048951,67.13286713,10.48951049
10,0.3916667,10,87,5585.185185,50,47,54.02298851,57.47126437,45.97701149
